"2016-2024 Voter Demographics, Based on Validated Voters | Pew Research Center",,,,,,,,Terms of use,"This sheet is view only. You can only export this data into a CSV/Excel or other format by downloading. To download these tables, click “File” and then select “Download” to save in your preferred file format.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Full report: Behind Trump’s 2024 Victory, a More Racially and Ethnically Diverse Voter Coalition",,,,,,,,Privacy policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blank cells indicate insufficient sample size for reliable estimation. Green highlights for 2024 vote shares indicate statistically significant change from 2020. Furthermore, we revised the weighting of the 2020 data and some estimates may be slightly different from those previously published. Refer to report methodology for more details.",,,,,,,,,,,,,,,,,,,,Composition of the electorate,,,,,Composition of the Democratic and Republican electorates,,,,,,,,,,Composition of all voters and nonvoters,,,,,,,,,,,,
,2024 Harris vote (official result 48%),2024 Trump vote (official result 50%),2024 margin (Harris-Trump),2022 Democratic House vote (official result 48%),2022 Republican House vote (official result 51%),2022 margin (Dem-Rep),2020 Biden vote (official result 51%),2020 Trump vote (official result 47%),2020 margin (Biden-Trump),2018 Democratic House vote (official result 53%),2018 Republican House vote (official result 44%),2018 margin (Dem-Rep),2016 Clinton vote (official result 48%),2016 Trump vote (official result 46%),2016 margin (Clinton-Trump),2024 Vote choice margin of error (+/- at 95% CI),2022 Vote choice margin of error (+/- at 95% CI),2020 Vote choice margin of error (+/- at 95% CI),2018 Vote choice margin of error (+/- at 95% CI),2016 Vote choice margin of error (+/- at 95% CI),Group as a share of all 2024 voters,Group as a share of all 2022 voters,Group as a share of all 2020 voters,Group as a share of all 2018 voters,Group as a share of all 2016 voters,Group as a share of 2024 Trump voters,Group as a share of 2024 Harris voters,Group as a share of 2022 Republican voters,Group as a share of 2022 Democratic voters,Group as a share of 2020 Trump voters,Group as a share of 2020 Biden voters,Group as a share of 2018 Republican voters,Group as a share of 2018 Democratic voters,Group as a share of 2016 Trump voters,Group as a share of 2016 Clinton voters,Group as a share of all 2024 voters,Group as a share of all 2024 nonvoters,Group as a share of all 2022 voters,Group as a share of all 2022 nonvoters,Group as a share of all 2020 voters,Group as a share of all 2020 nonvoters,Group as a share of all 2018 voters,Group as a share of all 2018 nonvoters,Group as a share of all 2016 voters,Group as a share of all 2016 nonvoters,,rep_20_24,dem_20_24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,43,55,-12,44,54,-10,48,50,-2,50,48,2,41,52,-11,2.2,2.4,2.6,2.3,4.6,49,50,48,49,45,54,44,53,46,51,44,53,45,53,39,49,45,50,45,48,44,49,45,45,51,,2.87148437,2.878741739
Women,53,46,7,51,48,3,55,44,11,58,40,18,54,39,15,1.9,1.9,2,2.1,4.4,50,49,51,51,55,46,55,46,53,48,55,47,55,47,61,50,54,49,53,51,55,51,55,55,49,,1.415413471,1.412806261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,43,55,-12,41,57,-16,43,55,-12,46,52,-6,39,54,-15,1.7,1.7,1.8,1.8,3.5,71,75,73,75,74,78,64,85,64,86,61,88,65,88,60,71,52,75,55,73,56,75,60,74,52,,0,0
Black,83,15,68,93,5,88,92,8,84,92,6,86,91,6,85,5,5.2,5.7,5.5,11.4,10,9,11,9,10,3,16,1,17,2,19,1,16,1,19,10,16,9,15,11,15,9,14,10,15,,2.900024103,3.620413255
Hispanic,51,48,3,60,39,21,61,36,25,72,25,47,66,28,38,5.3,6.7,6,5.8,12.4,10,9,10,8,10,10,11,7,11,7,11,5,11,6,14,10,20,9,18,10,19,8,17,10,19,,2.992326788,2.471343726
Asian*,57,40,17,68,32,36,70,30,40,73,26,47,-,-,-,7.5,9.9,10.8,9.5,-,4,3,4,2,2,3,5,2,4,3,5,1,3,1,3,4,6,3,5,4,4,2,3,2,4,,1.590718662,2.060117571
Other race,42,55,-13,45,53,-8,56,40,16,63,33,30,-,-,-,8.1,8.8,10.1,8.8,-,4,4,2,4,3,4,4,4,4,2,2,3,4,2,4,4,6,4,5,2,5,4,5,3,7,,2.310475539,2.145996174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White men,39,59,-20,38,60,-22,40,57,-17,43,55,-12,32,62,-30,2.5,2.5,2.8,2.6,5.2,35,37,35,37,33,42,28,44,29,43,27,47,29,46,22,35,23,37,25,35,24,37,26,33,25,,1.047745658,0.528901685
White women,47,51,-4,44,55,-11,45,53,-8,50,48,2,45,47,-2,2.2,2.2,2.3,2.4,4.9,35,37,37,38,41,36,35,40,34,42,33,42,35,42,38,35,29,37,30,37,31,38,34,41,27,,1.254037027,1.257113956
Black men,75,21,54,93,6,87,87,12,75,92,6,86,-,-,-,8.4,9.4,10.6,9.5,-,4,3,4,3,4,2,6,0,7,1,7,0,6,1,7,4,8,3,7,4,5,3,6,4,9,,1.818410668,2.311140811
